action_key,frames,state_mapping,priority,notes
idle_stand,6,IDLE,high,基础兜底动作
idle_sit,6,IDLE,high,静止补充
idle_lie,6,IDLE,high,静止补充
sleep_curl,4,SLEEP_CURL,high,安静模式核心动作
stretch,6,BREAK_HINT,high,休息提醒动作
yawn,6,YAWN,medium,过渡动作
walk,8,WALKING,high,移动核心
trot,6,TROT,medium,链式动作
run,6,RUN,medium,链式动作
jump,4,JUMP,low,可选增强
land,4,LAND,low,可选增强
retreat,6,RETREAT|IGNORING,high,退场动作
watch_focus,4,WATCHING,high,注视动作
pounce_ready,4,POUNCE_READY,medium,扑击前摇
pounce_attack,4,POUNCING,high,扑击动作
dodge,4,DODGE,medium,惊吓反馈
startled,4,STARTLED,medium,惊吓反馈
lick_groom,6,LICKING,high,舔毛动作
tail_wag,6,TAIL_WAGGING,high,尾巴互动
typing_attack,6,TYPING_ATTACK,high,键盘攻击核心
blocking,6,BLOCKING,high,挡鼠标核心
chasing,6,CHASING,high,追逐核心
rolling,6,ROLLING,high,翻滚核心
eat,6,EATING,high,吃食动作
carry,6,CARRYING,high,叼取动作
greet,6,GREET,high,欢迎动作
celebrate,6,CELEBRATE,high,奖励动作
comfort,6,COMFORT,high,安慰动作
break_hint,6,BREAK_HINT,high,提醒动作
